Metric,UCB-OCO,SGD-MF
RMSE,1.0048564611773414,0.9439279122347307
MAE,0.781346236252835,0.7390636493124091
Precision@10,0.07293478260869564,0.09271739130434783
Recall@10,0.06572892278142672,0.07179114631103563
NDCG@10,0.08695381005205612,0.11650344429390798
Convergence Alpha,1.1238618025080767,
